Province/State,Country/Region,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Country_x,Alpha-2 code,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,Country Name,WEBNAME,Region,World Rank,2019 Score,Government Integrity,Gov't Spending,Fiscal Health,Investment Freedom ,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Gov't Expenditure % of GDP ,"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),Public Debt (% of GDP),ROTAC.,HepB3.,DTP3.c,MCV2.c,MCV1.c,Hib3.c,PAB.cs,Pol3.c,PCV3.c,BCG.cs,continent,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18
Hong Kong,China,China,1367110000.0,22.3,114.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Hong Kong,China,China,1367110000.0,22.3,114.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Hong Kong,China,China,1367110000.0,22.3,114.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Hubei,China,China,1367110000.0,30.9756,112.2707,17,17,24,40,52,76,125,125,162,204,249,350,414,479,549,618,699,780,871,974,1068,1068,1310,1457,1596,1696,1789,1921,2029,2144,2144,2346,2346,2495,2563,2615,2641,2682,2727,2761,2803,2835,2871,2902,2931,2959,2986,3008,3024,3046,3056,3062,3075,3085,3099,3111,3122,3130,3133,3139,3153,3153,3160,3163,3169,3174,3177,3182,3186,3187,3193,3199,3203,3207,3210,3212,3212,3213,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Hubei,China,China,1367110000.0,30.9756,112.2707,17,17,24,40,52,76,125,125,162,204,249,350,414,479,549,618,699,780,871,974,1068,1068,1310,1457,1596,1696,1789,1921,2029,2144,2144,2346,2346,2495,2563,2615,2641,2682,2727,2761,2803,2835,2871,2902,2931,2959,2986,3008,3024,3046,3056,3062,3075,3085,3099,3111,3122,3130,3133,3139,3153,3153,3160,3163,3169,3174,3177,3182,3186,3187,3193,3199,3203,3207,3210,3212,3212,3213,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Hubei,China,China,1367110000.0,30.9756,112.2707,17,17,24,40,52,76,125,125,162,204,249,350,414,479,549,618,699,780,871,974,1068,1068,1310,1457,1596,1696,1789,1921,2029,2144,2144,2346,2346,2495,2563,2615,2641,2682,2727,2761,2803,2835,2871,2902,2931,2959,2986,3008,3024,3046,3056,3062,3075,3085,3099,3111,3122,3130,3133,3139,3153,3153,3160,3163,3169,3174,3177,3182,3186,3187,3193,3199,3203,3207,3210,3212,3212,3213,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Hunan,China,China,1367110000.0,27.6104,111.7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Hunan,China,China,1367110000.0,27.6104,111.7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Hunan,China,China,1367110000.0,27.6104,111.7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Inner Mongolia,China,China,1367110000.0,44.0935,113.9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Inner Mongolia,China,China,1367110000.0,44.0935,113.9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Inner Mongolia,China,China,1367110000.0,44.0935,113.9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Jiangsu,China,China,1367110000.0,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Jiangsu,China,China,1367110000.0,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Jiangsu,China,China,1367110000.0,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Jiangxi,China,China,1367110000.0,27.614,115.7221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Jiangxi,China,China,1367110000.0,27.614,115.7221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Jiangxi,China,China,1367110000.0,27.614,115.7221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Jilin,China,China,1367110000.0,43.6661,126.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Jilin,China,China,1367110000.0,43.6661,126.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Jilin,China,China,1367110000.0,43.6661,126.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Liaoning,China,China,1367110000.0,41.2956,122.6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Liaoning,China,China,1367110000.0,41.2956,122.6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Liaoning,China,China,1367110000.0,41.2956,122.6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Macau,China,China,1367110000.0,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Macau,China,China,1367110000.0,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
Macau,China,China,1367110000.0,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,
Ningxia,China,China,1367110000.0,37.2692,106.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,1.8,2.3,40.1
Ningxia,China,China,1367110000.0,37.2692,106.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000002,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,3.8,,,27.8
